link,from_area,to_area,direction,bus_2022_3h,transit_2022_3h,car_2022_3h,bus_2022_peak_hour,car_2022_peak_hour,lrt_ug_3h,lrt_ug_peak_hour,lrt_ug_low_3h,lrt_ug_high_3h,lrt_ug_prem0_3h,lrt_ug_prem10_3h,lrt_ground_3h,lrt_ground_peak_hour,lrt_ground_low_3h,lrt_ground_high_3h,lrt_ground_prem0_3h,lrt_ground_prem10_3h,lrt_d50_3h,lrt_d50_peak_hour,lrt_d50_low_3h,lrt_d50_high_3h,lrt_d50_prem0_3h,lrt_d50_prem10_3h,lrt_ug_share_of_bus_2022
1,TiratCarmel,Matam-NeotPeres,up,930.7,930.7,4012.7,511.4,2229.5,427.4,234.8,528.2,350.5,342.7,525.5,266.5,146.4,413.3,166.0,209.6,335.2,559.6,307.5,607.3,556.4,457.6,674.4,0.5
1,TiratCarmel,Matam-NeotPeres,down,521.2,521.2,1192.2,238.1,622.3,219.4,100.2,276.0,176.7,176.1,269.3,143.0,65.3,221.3,89.5,112.7,179.3,281.9,128.8,313.9,269.6,230.3,339.6,0.4
2,Matam-NeotPeres,HofCarmel-NeveDavid,up,937.4,937.4,2621.5,515.0,1456.5,388.2,213.3,482.7,309.2,313.3,473.7,227.1,124.8,371.9,129.9,179.6,284.0,498.0,273.6,535.1,494.0,409.0,596.4,0.4
2,Matam-NeotPeres,HofCarmel-NeveDavid,down,1896.9,1936.7,4040.8,866.5,2109.3,697.4,318.6,924.3,509.5,556.8,860.6,459.6,210.0,761.4,246.5,359.5,580.7,900.8,411.5,1037.3,809.8,732.2,1089.8,0.4
3,HofCarmel-NeveDavid,Hecht-Shprintzak,up,1109.4,1109.4,2637.9,609.5,1465.6,408.2,224.3,518.8,312.8,327.4,501.2,221.7,121.8,379.4,111.5,173.1,280.6,565.6,310.7,611.2,553.4,464.9,676.5,0.4
3,HofCarmel-NeveDavid,Hecht-Shprintzak,down,1955.9,1995.6,4037.6,893.5,2107.6,682.8,311.9,903.8,499.9,544.7,842.9,356.8,163.0,576.6,192.4,279.1,450.3,934.3,426.8,1063.0,852.8,762.5,1126.0,0.3
4,Hecht-Shprintzak,EinHayam,up,1648.4,1648.4,3281.8,905.6,1823.3,534.7,293.7,701.4,391.6,426.7,659.7,296.4,162.8,519.7,139.8,229.9,377.6,809.6,444.8,893.8,767.1,666.0,967.8,0.3
4,Hecht-Shprintzak,EinHayam,down,1813.9,1853.6,3957.3,828.6,2065.7,577.6,263.9,768.3,422.6,460.2,714.1,250.0,114.2,422.5,123.9,194.1,318.0,897.9,410.2,995.2,847.5,738.0,1074.2,0.3
5,EinHayam,BatGalim-KiryatEliezer,up,1865.1,1865.1,4078.5,1024.7,2266.0,593.6,326.1,788.9,428.3,473.4,733.0,323.2,177.6,574.5,149.2,250.3,412.6,885.7,486.6,994.0,824.3,727.7,1060.2,0.3
5,EinHayam,BatGalim-KiryatEliezer,down,1707.4,1747.1,3671.9,779.9,1916.7,549.8,251.1,719.4,410.8,439.1,677.9,206.9,94.5,350.2,101.8,160.5,263.6,867.2,396.1,944.8,833.5,714.9,1034.2,0.3
6,BatGalim-KiryatEliezer,Hamoshava,up,1583.0,1583.0,4157.9,869.7,2310.1,569.2,312.7,700.9,459.7,459.0,694.7,337.8,185.6,520.1,201.6,265.5,424.2,829.4,455.7,884.3,819.8,687.6,983.8,0.4
6,BatGalim-KiryatEliezer,Hamoshava,down,2063.5,2103.2,6722.0,942.6,3508.9,744.8,340.2,927.5,603.5,599.9,910.6,364.7,166.6,538.5,228.7,287.2,456.9,1092.0,498.8,1168.9,1078.0,903.4,1298.0,0.4
7,Hamoshava,LowerCity,up,1625.9,1625.9,3057.9,893.3,1699.0,590.1,324.2,723.8,478.8,476.4,719.4,335.2,184.2,513.1,202.3,263.9,420.3,847.4,465.6,905.9,833.5,702.2,1005.6,0.4
7,Hamoshava,LowerCity,down,2256.5,2296.2,5188.1,1030.8,2708.2,863.1,394.3,1026.0,741.1,704.9,1040.2,471.6,215.4,634.0,341.5,378.8,578.3,1215.1,555.0,1269.0,1223.5,1015.1,1430.0,0.4
8,LowerCity,Namal-Giborim,up,1152.7,1152.7,2651.8,633.3,1473.3,380.6,209.1,456.7,321.9,308.8,461.7,198.7,109.2,300.8,125.6,156.9,248.5,566.6,311.3,589.5,577.8,473.0,667.6,0.3
8,LowerCity,Namal-Giborim,down,3062.0,3101.8,6425.2,1398.7,3354.0,1314.2,600.3,1520.5,1172.2,1073.9,1582.1,766.5,350.1,981.5,591.6,616.3,938.2,1741.1,795.3,1895.9,1731.9,1446.4,2061.3,0.4
9,Namal-Giborim,Hamifrats,up,982.0,982.0,2392.7,539.5,1329.4,739.1,406.1,1177.4,476.4,587.2,919.5,468.8,257.6,919.4,219.6,364.2,597.7,938.7,515.7,1330.4,722.7,760.6,1144.7,0.8
9,Namal-Giborim,Hamifrats,down,3144.5,3188.2,6755.3,1436.4,3526.3,1671.4,763.5,2517.3,1255.9,1341.2,2056.4,815.7,372.6,1584.8,448.7,638.8,1030.2,2102.3,960.3,2841.3,1812.9,1715.1,2543.0,0.5
