scenario,case,λ,λ_T,LRT premium,LRT trips 06–09,of which from bus,of which from car,bus trips after,car trips after,transit share before,transit share after,LRT share of transit,LRT trips on trunk pairs,trunk pairs P_LRT|T (trip-wtd),headway_min,bus_competition
LRT all underground,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,4254,3841,414,11088,55236,0.2003,0.2174,0.277,1767,0.345,5.0,full
LRT all underground,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,6031,5113,917,10517,54030,0.2003,0.2345,0.364,2315,0.419,5.0,full
LRT all underground,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,3166,2890,276,11803,55609,0.2003,0.2121,0.212,1298,0.26,5.0,full
LRT all underground,"no premium (λ central, premium 0)",0.03,0.06,0.0,3410,3144,265,11658,55511,0.2003,0.2135,0.226,1406,0.281,5.0,full
LRT all underground,premium 10 (λ central),0.03,0.06,10.0,5236,4610,627,10447,54895,0.2003,0.2222,0.334,2187,0.414,5.0,full
LRT all ground,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,3206,2972,234,11804,55568,0.2003,0.2127,0.214,1203,0.243,5.0,full
LRT all ground,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,5272,4568,704,10943,54363,0.2003,0.2297,0.325,1922,0.359,5.0,full
LRT all ground,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,1952,1843,109,12659,55966,0.2003,0.207,0.134,663,0.138,5.0,full
LRT all ground,"no premium (λ central, premium 0)",0.03,0.06,0.0,2528,2383,145,12275,55775,0.2003,0.2097,0.171,938,0.193,5.0,full
LRT all ground,premium 10 (λ central),0.03,0.06,10.0,4017,3650,367,11254,55307,0.2003,0.2164,0.263,1523,0.301,5.0,full
LRT design 50 km/h,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,5095,4481,614,10537,54947,0.2003,0.2215,0.326,2202,0.415,5.0,full
LRT design 50 km/h,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,6568,5477,1091,10220,53790,0.2003,0.2379,0.391,2576,0.456,5.0,full
LRT design 50 km/h,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,4350,3797,553,11020,55208,0.2003,0.2178,0.283,1940,0.366,5.0,full
LRT design 50 km/h,"no premium (λ central, premium 0)",0.03,0.06,0.0,4144,3736,407,11160,55275,0.2003,0.2168,0.271,1785,0.346,5.0,full
LRT design 50 km/h,premium 10 (λ central),0.03,0.06,10.0,6176,5279,897,9855,54547,0.2003,0.2271,0.385,2674,0.487,5.0,full
LRT design 50 km/h + accel/braking,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,4300,3877,423,11058,55220,0.2003,0.2176,0.28,1791,0.349,5.0,full
LRT design 50 km/h + accel/braking,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,6061,5134,927,10500,54017,0.2003,0.2347,0.366,2330,0.422,5.0,full
LRT design 50 km/h + accel/braking,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,3226,2939,288,11762,55590,0.2003,0.2124,0.215,1330,0.266,5.0,full
LRT design 50 km/h + accel/braking,"no premium (λ central, premium 0)",0.03,0.06,0.0,3449,3177,272,11631,55498,0.2003,0.2137,0.229,1426,0.285,5.0,full
LRT design 50 km/h + accel/braking,premium 10 (λ central),0.03,0.06,10.0,5289,4649,640,10414,54876,0.2003,0.2225,0.337,2214,0.418,5.0,full
LRT mixed (Haifa core underground),"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,3520,3242,277,11582,55476,0.2003,0.214,0.233,1468,0.292,5.0,full
LRT mixed (Haifa core underground),"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,5500,4736,764,10809,54270,0.2003,0.2311,0.337,2118,0.39,5.0,full
LRT mixed (Haifa core underground),"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,2278,2142,136,12420,55881,0.2003,0.2082,0.155,931,0.191,5.0,full
LRT mixed (Haifa core underground),"no premium (λ central, premium 0)",0.03,0.06,0.0,2788,2614,173,12088,55702,0.2003,0.2108,0.187,1156,0.235,5.0,full
LRT mixed (Haifa core underground),premium 10 (λ central),0.03,0.06,10.0,4388,3955,433,10999,55192,0.2003,0.218,0.285,1840,0.357,5.0,full
LRT + synthetic branches (task C6),"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,3639,3322,317,11578,55361,0.2003,0.2156,0.239,1767,0.345,5.0,full
LRT + synthetic branches (task C6),"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,5639,4790,849,10834,54105,0.2003,0.2334,0.342,2315,0.419,5.0,full
LRT + synthetic branches (task C6),"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,2314,2155,158,12464,55800,0.2003,0.2094,0.157,1298,0.26,5.0,full
LRT + synthetic branches (task C6),"no premium (λ central, premium 0)",0.03,0.06,0.0,2870,2672,198,12094,55614,0.2003,0.212,0.192,1406,0.281,5.0,full
LRT + synthetic branches (task C6),premium 10 (λ central),0.03,0.06,10.0,4555,4060,495,10981,55043,0.2003,0.2201,0.293,2187,0.414,5.0,full
LRT all underground,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,3815,3482,332,11382,55381,0.2003,0.2153,0.251,1579,0.312,7.5,full
LRT all underground,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,5707,4883,824,10693,54178,0.2003,0.2324,0.348,2193,0.401,7.5,full
LRT all underground,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,2641,2449,192,12166,55771,0.2003,0.2098,0.178,1061,0.216,7.5,full
LRT all underground,"no premium (λ central, premium 0)",0.03,0.06,0.0,3038,2827,210,11914,55626,0.2003,0.2118,0.203,1248,0.252,7.5,full
