origin_gs,n_pooled,lambda
10,8295,0.9993975903614458
21,622,0.9920255183413078
22,652,0.9923896499238964
23,1312,0.9962034927866363
24,2043,0.99755859375
25,613,0.9919093851132686
26,454,0.9891067538126361
27,215,0.9772727272727273
31,975,0.9948979591836735
32,688,0.9927849927849928
33,666,0.992548435171386
34,486,0.9898167006109979
35,1705,0.9970760233918129
36,816,0.9939098660170523
37,12,0.7058823529411765
38,233,0.9789915966386554
41,936,0.9946865037194474
42,414,0.9880668257756563
43,563,0.9911971830985915
44,373,0.9867724867724867
45,1355,0.9963235294117647
46,301,0.9836601307189542
47,937,0.994692144373673
48,671,0.992603550295858
49,1526,0.9967341606792945
