AggAreaCode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,11812.2,1236.49,502.632,770.198,179.149,622.293,480.117,135.966,258.523,616.481,192.882,18.3765,249.521,86.8292,85.7717,16.6638,0.374077,4.24365,0.245978,0.017518,0.0283177,0.0619829,56.558,39.163,122.216,146.391,216.26,33.4589
2,458.819,161.724,14.6094,70.9865,25.4078,48.0784,54.1971,36.8664,29.446,63.0768,6.00831,3.52183,13.0895,3.55056,4.95459,1.68943,0.363946,0.474966,0.0247599,0.0890363,0.00237114,0.00177299,4.13354,4.87513,33.2862,5.85753,11.2315,9.60199
3,84.5904,11.6127,166.552,183.293,52.9966,104.152,140.862,112.668,122.314,116.702,5.47286,7.63107,9.69087,2.9896,6.07245,2.13881,0.445734,1.80043,0.011816,1.48485,0.00131639,0.00270422,3.20125,6.29505,28.5939,4.12653,16.5087,35.6012
4,247.003,162.344,259.502,1959.65,384.812,277.08,258.824,290.708,386.766,442.836,25.924,22.5562,38.3681,14.8317,16.2395,4.97239,1.49025,1.7517,0.0401451,1.64858,0.00472673,0.00880064,7.12509,19.4729,69.1598,23.0938,46.2206,22.9855
5,70.0609,64.0152,52.4722,392.169,363.323,39.7639,55.5928,77.5465,84.7839,101.392,8.30194,8.16079,12.5146,5.17415,5.50917,1.30804,0.398653,0.547616,0.0155516,0.493405,0.00138169,0.00202928,2.15278,5.94031,19.126,7.72874,14.9814,6.6915
6,267.01,367.359,381.401,431.913,81.9822,413.393,879.008,40.5575,162.558,473.913,37.4724,35.8545,68.9424,24.2126,36.9866,9.26863,1.46938,3.93195,0.412071,6.40709,0.190479,0.00865904,21.0526,44.2144,134.032,36.9242,85.831,82.3843
7,734.019,991.936,1039.54,1140,212.23,881.548,2631.99,72.9463,408.173,1235.33,92.3444,99.2181,189.694,63.4568,101.288,21.7026,3.13233,9.41246,0.514874,14.8164,0.0720151,0.0220768,56.2495,110.367,327.562,96.4511,242.166,213.932
8,34.4642,177.99,197.23,217.217,41.9004,24.2631,8.00902,2000.74,4.76007,247.573,28.2084,38.1259,64.2936,23.8741,24.5517,6.0201,1.04913,4.44288,10.0897,0.0891548,0.287107,0.0620103,53.8777,18.7663,35.9062,33.6288,239.325,20.7316
9,14.4494,59.7334,104.599,143.629,32.0759,69.0024,60.7208,4.39894,702.871,145.913,17.7099,24.7213,26.7292,12.6123,12.5539,4.98084,1.79869,3.2975,3.79916,0.0953872,0.343406,0.023544,47.1357,19.2084,46.6304,19.9282,86.5291,15.7442
10,47.1213,193.417,306.881,461.465,93.6698,316.612,359.581,609.604,176.223,4179.35,58.2937,93.4114,148.044,61.9068,48.4147,28.8198,9.91837,10.6568,9.68585,1.41301,0.261767,5.01913,45.3289,59.9164,143.581,90.0264,364.845,78.7642
11,11.7903,25.8386,59.8777,64.2897,11.9753,52.685,56.9461,19.5541,22.1617,41.334,566.65,2.96095,168.331,91.9639,32.2756,11.1863,6.66917,11.7997,5.68031,0.121378,7.37203,0.0391177,0.958171,125.651,215.933,303.133,74.4784,32.6134
12,22.2686,34.3309,33.8898,57.1266,10.6458,49.5688,49.4748,113.017,61.1675,171.382,7.29178,512.59,27.0864,20.9444,10.9981,3.55952,2.13667,2.56832,4.12529,0.29771,0.0442116,0.471082,5.73831,30.5341,34.6743,25.7786,78.4373,13.4098
13,14.6272,50.1678,48.9955,53.6294,11.7948,63.6008,68.825,27.6646,40.5543,126.288,191.629,11.7515,270.51,83.8725,47.641,15.4338,12.9145,7.56332,7.77596,0.359944,7.7259,0.0490868,1.64998,109.63,233.46,157.904,244.089,48.3815
14,4.26897,11.2083,8.41084,20.0528,5.40478,18.3892,15.8192,9.24319,14.7359,39.7334,94.3246,4.45987,73.8243,127.274,18.6808,15.2476,6.52678,7.0448,4.61371,0.12897,1.69429,0.0115798,0.514134,74.507,205.312,120.495,68.7048,44.3817
15,9.0168,32.9842,29.6742,22.3769,5.11091,64.7306,31.4874,24.195,31.0938,69.881,49.4932,16.6052,97.6566,40.5466,1408.63,924.144,16.6033,327.586,2.94754,17.2172,1.26655,8.05215,14.2286,104.306,481.869,48.2757,211.591,2363.16
16,10.0205,43.1838,35.9375,30.2405,7.11472,99.9577,54.0609,46.4548,67.8676,80.9268,97.1621,21.6794,147.098,61.7361,1396.02,2254.47,17.5197,791.228,1.54036,5.66475,0.0446871,10.3612,14.4285,174.951,773.268,105.095,306.174,2856.22
17,8.5894,11.5313,6.40018,10.4442,1.33965,21.3224,11.624,12.4394,22.8046,26.7695,38.0876,5.3369,73.8237,18.1648,17.3667,7.49072,485.91,5.01217,1.21658,0.419136,0.0165758,0.0273355,4.67547,134.446,742.117,39.5021,48.6982,29.24
18,5.80933,35.3023,20.4506,16.4242,2.96043,73.2023,37.5597,14.7305,27.6736,42.6455,52.1211,8.24285,115.598,50.1494,1255.34,1574.99,29.0377,855.513,3.44354,19.3401,0.0512578,4.12484,14.9348,141.024,709.417,79.0916,241.637,2238.27
19,48.8452,12.5345,6.63986,8.42194,1.48714,42.0584,14.6815,118.823,108.63,169.785,120.972,15.8533,222.255,105.427,133.881,66.6287,33.6654,111.885,2475.08,9.4678,186.486,31.8468,92.0146,69.359,364.334,151.217,462.38,128.749
20,2.15034,4.8846,6.52761,3.08751,0.877309,30.4134,8.62789,5.59386,5.30206,9.40009,1.91674,0.518672,3.62426,2.48385,22.4488,9.55939,4.52366,10.0072,22.6533,695.172,0.085465,54.2996,31.9602,12.8598,114.272,3.25986,28.0069,598.653
21,12.7939,2.76683,1.29264,2.92664,0.306206,9.65177,1.90572,13.4345,16.0191,32.4672,6.67859,3.25595,6.5411,3.32024,1.53355,0.131086,0.327553,0.128261,93.6678,53.4909,2985,40.3884,108.27,16.127,63.2012,6.28161,3.23367,10.1701
22,0.280356,15.827,16.6787,19.306,3.35837,33.6069,18.9149,2.23969,3.95668,8.92948,17.3318,0.325564,20.3811,8.55839,45.9214,18.0542,0.0870931,38.1031,0.963923,71.8665,32.5027,622.88,525.856,45.8752,133.792,14.718,68.9959,75.5279
23,1.42866,18.8076,14.3112,20.4283,4.43167,52.5021,36.496,42.6396,41.9608,66.1393,91.4741,20.5199,99.7255,38.0965,8.98563,1.8602,17.5884,0.716713,26.255,12.4524,17.4884,193.642,18743.5,25.4331,256.015,69.2671,142.275,19.0684
24,63.3418,147.74,98.1795,132.366,27.9873,370.909,183.406,91.9939,301.653,355.825,814.641,58.5911,943.196,508.498,472.242,142.29,299.178,66.6138,4.04422,3.4371,4.90751,37.9851,17.3247,19095.1,6352.33,846.822,968.987,417.646
25,375.701,576.971,361.702,326.989,63.7173,892.603,415.766,415.051,1009.58,946.348,1335.67,105.411,1819.96,891.13,926.564,400.754,810.366,301.672,13.8907,16.9108,0.442579,48.2285,92.2835,6343.16,54515.8,1363.31,2265.59,1120.09
26,6.5383,18.8266,12.9639,28.1125,6.97908,27.1788,25.8716,13.8271,23.2821,54.3833,309.983,5.76499,146.564,116.068,18.8457,16.6776,8.63967,10.8143,5.6496,0.152841,4.60223,0.0186967,0.759473,135.085,275.368,274.739,73.0043,46.9472
