AggAreaCode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,175,0,343.948,0,0,175,0,0,318.918,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,119.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0
4,0,21.0984,165.126,18.3398,36.6055,178.663,353.859,48.0288,125.464,134.68,0,0,0,0,0,67.9236,0,0,0,0,0,0,0,0,100.17,0,0,67.9236
5,225.865,21.0984,73.1788,59.6942,36.6055,202.935,426.676,131.016,54.8246,126.235,0,0,0,0,37.5407,0,31.648,0,0,0,0,0,0,0,151.918,0,0,60.5806
6,0,41.8508,65.5724,28.902,35.5772,183.741,0,0,160.184,76.7858,0,0,0,10.1247,35.3398,0,0,0,0,0,0,0,0,0,0,10.1247,0,0
7,0,125.552,0,53.0097,73.0354,0,0,0,179.503,110.335,0,0,0,30.3742,106.019,0,0,0,0,0,0,0,0,0,0,30.3742,0,0
8,0,0,0,0,0,0,0,0,0,0,0,350.001,13.8313,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6625,0
9,0,0,0,0,0,40.74,0,0,0,2.14425,44.4033,111.186,0,32.0012,0,0,0,0,0,0,0,0,0,0,0,32.0012,0,0
10,0,6.43345,0,15.1775,15.1775,31.6191,94.8572,61.2618,0,72.9165,44.4033,0,3.01026,0,0,0,0,0,0,0,0,0,0,0,43.4578,0,77.0499,0
11,0,0,0,0,0,0,0,0,0,145.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.8729,0,0,0
12,175,119.913,0,0,0,0,0,0,0,72.9167,0,0,52.5152,0,0,0,0,0,0,0,0,0,0,0,0,0,105.03,0
13,0,0,0,0,0,0,0,0,0,0,0,119.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,32.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.565,189.612,0,0,0,0,0,0,0,0,180.129,0,0,205.173
17,182.264,0,0,0,0,0,0,0,53.3136,0,0,34.2151,0,0,26.5246,0,286.972,0,0,0,0,0,0,0,65.1179,0,0,53.0492
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.237,127.422,0,318.554,0,0,0,0,0,0,0,0,0,811.664
19,0,0,0,0,0,0,0,0,0,0,0,45.818,0,5.94392,0,0,0,0,37.4451,0,0,0,0,0,0,5.94392,66.2986,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,116.667,0,0,0,0,0,0,0,26.7389,0,0,0,0,0,0,0,0,1064.74,0,350,26.7389,0,0
24,0,66.2227,0,0,0,43.75,131.25,0,86.6024,109.558,132.445,0,47.7738,162.789,755.828,428.381,0,0,0,0,0,0,0,1162.28,902.918,162.789,35.99,39.1903
25,0,52.553,257.57,0,0,0,0,0,856.744,47.3311,152.588,137.593,27.5267,68.7966,450.1,14.7763,971.501,0,0,0,0,0,0,619.773,2001.49,0,105.278,257.072
26,0,0,0,0,0,0,0,0,32.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,350,0,0,0,0,0,0,0,0,0,0,0,0,137.656,0,0,0,0,0,0,0,0,0,0,0,3.62022,0
28,0,0,175,0,0,88.9357,0,0,135.498,0,0,0,223.428,0,83.8364,368.972,0,0,0,0,0,0,0,159.86,516.552,0,361.354,1121.9
