AggAreaCode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,129.126,201.81,85.326,52.3626,29.9113,152.198,115.644,25.8702,88.2272,54.1073,6.85845,30.2493,50.8281,19.2429,20.4544,1.55119,0.334598,0.260749,0,0.00252785,0,0.126255,0.344312,11.3327,39.1451,5.67512,18.7206,3.59146
2,25.1116,47.465,20.3578,12.4931,7.13646,36.4209,27.5913,10.4009,35.4592,22.514,2.39234,12.1114,17.7297,6.71223,9.02947,4.87053,0.351736,0.822154,0.0122811,0.00155083,0.00405645,0.0185844,0.24995,5.44778,15.873,1.97957,6.16153,10.7466
3,11.5808,22.0719,9.47196,5.81271,3.32042,16.9477,12.8376,4.91575,16.7588,10.6489,1.12677,5.72363,8.35048,3.16139,4.27621,2.34751,0.16857,0.396268,0.00593616,0.000738699,0.00196071,0.00843827,0.11933,2.58433,7.50343,0.932359,2.89745,5.17893
4,77.2037,147.143,63.1449,38.7506,22.1357,112.983,85.5818,32.771,111.723,70.991,7.51161,38.1567,55.6686,21.0755,28.5075,15.6497,1.12378,2.64172,0.0395735,0.00492455,0.0130711,0.0562538,0.795514,17.2285,50.0218,6.21558,19.3159,34.5254
5,67.3049,128.277,55.0488,33.7821,19.2975,98.4964,74.6089,28.5692,97.3984,61.8888,6.54851,33.2643,48.5311,18.3732,24.8523,13.6432,0.979693,2.30302,0.0344996,0.00429314,0.0113952,0.0490412,0.693516,15.0195,43.6082,5.41865,16.8393,30.0987
6,31.3708,59.7898,25.6582,15.7458,8.99457,45.9091,34.7752,13.3161,45.3973,28.8464,3.05225,15.5045,22.6203,8.56376,11.5837,6.35907,0.456635,1.07344,0.0160802,0.00200103,0.00531129,0.0228581,0.323248,7.0006,20.3258,2.52563,7.8488,14.029
7,75.5415,143.975,61.7855,37.9163,21.6591,110.55,83.7393,32.0654,109.318,69.4626,7.34988,37.3352,54.4701,20.6217,27.8937,15.3128,1.09958,2.58485,0.0387215,0.00481853,0.0127897,0.0550427,0.778387,16.8576,48.9449,6.08177,18.9,33.7821
8,10.6176,35.7555,15.7922,9.69131,5.53601,28.4317,21.4036,26.7767,91.1871,35.5715,3.10132,28.2069,22.984,8.70145,9.38539,1.01814,0.364458,0.170434,0.0870972,0.000495771,0,0.077567,2.36864,3.55624,13.3983,2.56623,7.06876,2.24346
9,12.8531,43.2837,19.1173,11.7318,6.70162,34.418,25.9101,32.4145,110.386,43.0611,3.7543,34.1459,27.8232,10.5335,11.3615,1.23251,0.441194,0.206319,0.105435,0.000600155,0,0.0938986,2.86735,4.305,16.2194,3.10655,8.55707,2.71582
10,10.4228,45.9126,20.4551,12.5528,7.17059,37.0361,27.7232,15.9136,54.313,49.0257,5.47765,21.5419,40.595,15.3688,16.2902,1.14386,0.621061,0.190438,0.0643547,0.0066463,0,0.0587926,2.54155,6.23074,14.8725,4.53256,25.3503,3.05483
11,3.46349,9.40292,4.11607,2.52594,1.4429,7.29445,5.57861,3.52168,11.9795,7.82076,0,3.83636,0,0,0.787338,1.80603,0.334125,0.30386,0.131926,0.000663491,0.031691,0.0928425,0.547297,0.90888,3.25716,0,4.19485,3.97994
12,29.5703,44.5084,18.7582,11.5115,6.57574,34.0013,25.4234,30.217,102.962,59.6121,5.28518,40.7751,39.1686,14.8287,16.3,2.44118,0.917609,0.40843,0.0951064,0.00137966,0.00252697,0.087888,2.22905,6.94421,20.1765,4.3733,13.8705,5.39348
13,27.8692,75.6612,33.1202,20.3251,11.6104,58.6954,44.8887,28.3374,96.3941,62.9303,0,30.8695,0,0,6.33537,14.5323,2.68856,2.44502,1.06155,0.00533882,0.255004,0.747063,4.40386,7.31336,26.209,0,33.7541,32.0248
14,4.23202,11.4894,5.02941,3.08643,1.76307,8.91303,6.81646,4.30312,14.6377,9.55615,0,4.68763,0,0,0.962042,2.20678,0.408265,0.371284,0.1612,0.000810717,0.038723,0.113444,0.668739,1.11055,3.97991,0,5.12566,4.86306
15,5.66148,15.6444,6.85383,4.20604,2.40264,12.197,9.28917,5.86191,19.9518,12.8088,0.353622,6.45723,2.6207,0.992164,3.68955,6.11305,0.756147,1.03035,0.218694,0.00146172,0.05061,0.148448,0.893397,2.75584,8.47041,0.292609,7.4823,13.4245
16,6.27342,27.4679,12.2355,7.50863,4.28919,23.6632,16.583,10.4347,35.9497,14.9261,13.7976,14.1511,102.254,38.7123,94.9891,126.205,9.23806,21.3029,0.355208,0.015861,0.00999993,0.036762,0.940894,51.2542,130.535,11.4171,31.8397,276.268
