from,to,total 1→23,total 23→1,hybrid-based 1→23,hybrid-based 23→1,transit 1→23,transit 23→1,taxi-type 1→23,taxi-type 23→1,ticketing-based transit 1→23,ticketing-based transit 23→1,transit share 1→23,transit share 23→1
TiratCarmel,Matam,4095.000,1538.000,5085.000,1075.000,662.000,217.000,579.000,342.000,776.000,192.000,0.162,0.141
Matam,Neot Peres,3410.000,3713.000,4136.000,2358.000,789.000,1007.000,579.000,513.000,1047.000,419.000,0.231,0.271
Neot Peres,Neve David,3286.000,4703.000,3924.000,3194.000,655.000,1650.000,579.000,757.000,1037.000,874.000,0.199,0.351
Neve David,Ein Hayam,5073.000,4578.000,6152.000,4746.000,1217.000,1467.000,933.000,736.000,1632.000,1629.000,0.240,0.320
Ein Hayam,Bat Galim,7326.000,3869.000,6761.000,3913.000,1661.000,1222.000,1415.000,608.000,1853.000,1648.000,0.227,0.316
Bat Galim,Kiryat Eliezer,6852.000,6847.000,7671.000,7576.000,1518.000,1355.000,1014.000,660.000,1656.000,2584.000,0.222,0.198
Kiryat Eliezer,Hamoshava,6713.000,4964.000,7103.000,6025.000,1512.000,1079.000,643.000,391.000,1554.000,2398.000,0.225,0.217
Hamoshava,Lower City,5750.000,3749.000,5911.000,4629.000,1428.000,1146.000,872.000,440.000,1461.000,2326.000,0.248,0.306
Lower City,Hadar Carmel,4477.000,4552.000,5635.000,6060.000,1149.000,1334.000,530.000,534.000,1175.000,2736.000,0.257,0.293
Hadar Carmel,Namal,3038.000,4153.000,3856.000,4870.000,729.000,1538.000,484.000,446.000,725.000,2652.000,0.240,0.370
Namal,Neve Yosef,2862.000,4129.000,3524.000,5311.000,709.000,1170.000,484.000,446.000,678.000,2692.000,0.248,0.283
Neve Yosef,Hamifrats,1994.000,3904.000,3227.000,4629.000,464.000,1006.000,99.000,486.000,591.000,2093.000,0.233,0.258
Hamifrats,Hutzot,795.000,4143.000,2266.000,4345.000,237.000,566.000,76.000,486.000,168.000,1618.000,0.298,0.137
Hutzot,Kiryat Ata Center,402.000,4117.000,1910.000,4247.000,77.000,577.000,21.000,431.000,17.000,1547.000,0.192,0.140
Kiryat Ata Center,Kiryat Bialik South,308.000,3615.000,1900.000,3796.000,22.000,466.000,21.000,431.000,31.000,1282.000,0.071,0.129
Kiryat Bialik South,Shefaram,207.000,1687.000,1776.000,2240.000,4.000,502.000,0.000,131.000,0.000,1397.000,0.019,0.298
Shefaram,Nazareth Area,239.000,1050.000,1948.000,1517.000,2.000,430.000,0.000,131.000,0.000,1363.000,0.008,0.410
