from_code,to_code,from_area,to_area,flow_dir_1_to_23,flow_dir_23_to_1,total_both_dir
1,2,TiratCarmel,Matam,3768.0,1384.0,5152.0
2,3,Matam,Neot Peres,2973.0,3376.0,6349.0
3,4,Neot Peres,Neve David,2968.0,3880.0,6848.0
4,5,Neve David,Ein Hayam,4345.0,3784.0,8129.0
5,6,Ein Hayam,Bat Galim,6092.0,3201.0,9293.0
6,7,Bat Galim,Kiryat Eliezer,5925.0,6330.0,12255.0
7,8,Kiryat Eliezer,Hamoshava,6160.0,4727.0,10887.0
8,9,Hamoshava,Lower City,5097.0,3458.0,8555.0
9,10,Lower City,Hadar Carmel,3974.0,4171.0,8145.0
10,11,Hadar Carmel,Namal,2691.0,3535.0,6226.0
11,12,Namal,Neve Yosef,2495.0,3862.0,6357.0
12,13,Neve Yosef,Hamifrats,2057.0,3460.0,5517.0
13,14,Hamifrats,Hutzot,741.0,3901.0,4642.0
14,16,Hutzot,Kiryat Ata Center,420.0,3940.0,4360.0
16,17,Kiryat Ata Center,Kiryat Bialik South,307.0,3231.0,3538.0
17,19,Kiryat Bialik South,Shefaram,227.0,1474.0,1701.0
19,23,Shefaram,Nazareth Area,260.0,785.0,1045.0
