from_code,to_code,from_area,to_area,flow_dir_1_to_23,flow_dir_23_to_1,total_both_dir
1,2,TiratCarmel,Matam,1267.0,571.0,1838.0
2,3,Matam,Neot Peres,1337.0,1208.0,2545.0
3,4,Neot Peres,Neve David,1220.0,1837.0,3057.0
4,5,Neve David,Ein Hayam,2070.0,1717.0,3787.0
5,6,Ein Hayam,Bat Galim,2966.0,1457.0,4423.0
6,7,Bat Galim,Kiryat Eliezer,2541.0,1627.0,4168.0
7,8,Kiryat Eliezer,Hamoshava,2322.0,1240.0,3562.0
8,9,Hamoshava,Lower City,2430.0,1337.0,3767.0
9,10,Lower City,Hadar Carmel,1759.0,1571.0,3330.0
10,11,Hadar Carmel,Namal,1240.0,1624.0,2864.0
11,12,Namal,Neve Yosef,1218.0,1339.0,2557.0
12,13,Neve Yosef,Hamifrats,579.0,1232.0,1811.0
13,14,Hamifrats,Hutzot,327.0,882.0,1209.0
14,16,Hutzot,Kiryat Ata Center,101.0,829.0,930.0
16,17,Kiryat Ata Center,Kiryat Bialik South,37.0,770.0,807.0
17,19,Kiryat Bialik South,Shefaram,3.0,487.0,490.0
19,23,Shefaram,Nazareth Area,2.0,417.0,419.0
