link,hybrid: bus (calibrated survey) 1→23,hybrid: bus (calibrated survey) 23→1,hybrid: taxi-type 1→23,hybrid: taxi-type 23→1,hybrid: rail (survey) 1→23,hybrid: rail (survey) 23→1,ticketing: bus (RavKav × OnBoard) 1→23,ticketing: bus (RavKav × OnBoard) 23→1,ticketing: train (station) 1→23,ticketing: train (station) 23→1,step: survey bus 2018 (raw) 1→23,step: survey bus 2018 (raw) 23→1,"step: bus, all-RavKav volumes 1→23","step: bus, all-RavKav volumes 23→1",total: hybrid set 1→23,total: hybrid set 23→1,total: ticketing set 1→23,total: ticketing set 23→1
TiratCarmel – Matam,688.5,228.3,578.7,342.4,0.0,0.0,776.1,191.8,0.0,0.0,580.6,246.2,688.5,228.2,4120.7,1549.3,5085.4,1075.2
Matam – Neot Peres,758.8,694.7,578.7,513.5,0.0,0.0,1024.2,386.7,23.0,32.7,700.6,413.4,758.8,694.3,3380.2,3400.5,4136.2,2357.9
Neot Peres – Neve David,641.7,1080.1,578.7,756.7,0.0,0.0,1014.2,841.3,23.0,32.7,356.6,511.5,641.7,1079.6,3272.4,4132.9,3924.0,3194.3
Neve David – Ein Hayam,1136.9,980.5,933.3,736.3,0.0,0.0,1608.9,1596.2,23.0,32.7,971.5,480.5,1136.9,979.9,4992.8,4091.8,6151.5,4746.4
Ein Hayam – Bat Galim,1551.0,849.0,1415.3,608.2,0.0,0.0,1830.4,1615.4,23.0,32.7,1386.4,339.4,1551.0,848.4,7216.1,3496.0,6760.9,3913.0
Bat Galim – Kiryat Eliezer,1527.6,966.5,1013.7,660.4,0.0,0.0,1629.1,2506.7,27.1,77.5,1297.2,387.9,1527.6,964.4,6861.8,6457.8,7670.8,7576.1
Kiryat Eliezer – Hamoshava,1679.1,849.8,642.9,390.5,0.0,0.0,1527.2,2320.0,27.1,77.5,1448.8,441.5,1679.1,847.6,6880.5,4735.2,7103.3,6025.3
Hamoshava – Lower City,1557.6,896.9,872.1,439.8,0.0,0.0,1434.2,2248.3,27.1,77.5,1448.8,441.5,1557.6,893.1,5879.5,3500.1,5911.1,4628.7
Lower City – Hadar Carmel,1228.7,1037.1,530.4,534.2,0.0,0.0,1153.7,2666.4,21.0,69.7,1069.1,400.7,1228.7,1029.9,4557.1,4254.9,5634.8,6059.7
Hadar Carmel – Namal,755.7,1178.4,484.0,445.5,0.0,0.0,703.7,2582.3,21.0,69.7,469.8,508.1,755.7,1169.9,3064.8,3793.4,3856.3,4869.6
Namal – Neve Yosef,733.6,893.6,484.0,445.5,0.0,0.0,656.8,2622.1,21.0,69.7,381.0,353.1,733.6,879.4,2886.7,3852.6,3524.1,5310.7
Neve Yosef – Hamifrats,480.2,746.0,98.5,485.8,0.0,0.0,569.6,2023.6,21.0,69.7,365.8,155.1,480.2,730.2,2010.4,3643.5,3226.7,4628.6
Hamifrats – Hutzot,250.7,395.9,75.9,485.8,0.0,0.0,156.3,1593.9,11.3,23.9,143.9,35.2,250.7,363.6,808.8,3972.8,2266.3,4345.3
Hutzot – Kiryat Ata Center,80.6,398.3,20.6,430.6,0.0,0.0,16.7,1547.4,0.0,0.0,74.2,86.3,80.6,354.5,406.0,3937.9,1910.0,4247.5
Kiryat Ata Center – Kiryat Bialik South,16.0,339.5,20.6,430.6,0.0,0.0,31.4,1282.2,0.0,0.0,0.0,86.3,16.0,295.3,302.2,3488.1,1900.2,3795.5
Kiryat Bialik South – Shefaram,3.4,355.6,0.0,130.9,0.0,0.0,0.5,1396.5,0.0,0.0,0.0,86.3,3.4,311.4,206.6,1541.1,1776.3,2240.1
Shefaram – Nazareth Area,1.7,286.1,0.0,130.9,0.0,0.0,0.5,1363.1,0.0,0.0,0.0,46.0,1.6,282.9,238.3,906.1,1948.5,1517.4
