origin,destination,direction,links crossed,hybrid trips,ticketing trips,diff trips,diff link-trips
TiratCarmel,Matam,1→23,1,201.8,245.0,-43.2,-43.2
TiratCarmel,Neot Peres,1→23,2,85.3,171.0,-85.7,-171.3
TiratCarmel,Neve David,1→23,3,52.4,66.2,-13.9,-41.7
TiratCarmel,Ein Hayam,1→23,4,29.9,17.5,12.4,49.6
TiratCarmel,Bat Galim,1→23,5,152.2,88.2,63.9,319.7
TiratCarmel,Kiryat Eliezer,1→23,6,115.6,101.8,13.9,83.4
TiratCarmel,Hamoshava,1→23,7,25.9,10.8,15.1,105.8
TiratCarmel,Lower City,1→23,8,88.2,104.0,-15.8,-126.2
TiratCarmel,Hadar Carmel,1→23,9,54.1,31.8,22.4,201.2
TiratCarmel,Namal,1→23,10,6.9,0.0,6.9,68.6
TiratCarmel,Neve Yosef,1→23,11,30.2,15.0,15.2,167.7
TiratCarmel,Hamifrats,1→23,12,50.8,95.5,-44.7,-536.1
TiratCarmel,Hutzot,1→23,13,19.2,10.0,9.2,120.2
TiratCarmel,Kiryat Ata Center,1→23,14,1.6,0.8,0.8,11.2
TiratCarmel,Kiryat Bialik South,1→23,15,0.3,0.0,0.3,5.0
TiratCarmel,Shefaram,1→23,16,0.0,0.0,0.0,0.0
TiratCarmel,Nazareth Area,1→23,17,0.3,0.0,0.3,5.9
Matam,TiratCarmel,23→1,1,25.1,134.5,-109.4,-109.4
Matam,Neot Peres,1→23,1,20.4,12.2,8.1,8.1
Matam,Neve David,1→23,2,12.5,42.2,-29.8,-59.5
Matam,Ein Hayam,1→23,3,7.1,3.8,3.4,10.2
Matam,Bat Galim,1→23,4,36.4,21.9,14.5,58.0
Matam,Kiryat Eliezer,1→23,5,27.6,11.0,16.6,83.0
Matam,Hamoshava,1→23,6,10.4,2.0,8.4,50.4
Matam,Lower City,1→23,7,35.5,23.0,12.4,86.9
Matam,Hadar Carmel,1→23,8,22.5,3.2,19.3,154.1
Matam,Namal,1→23,9,2.4,0.0,2.4,21.5
Matam,Neve Yosef,1→23,10,12.1,1.2,10.9,108.6
Matam,Hamifrats,1→23,11,17.7,34.5,-16.7,-183.9
Matam,Hutzot,1→23,12,6.7,9.6,-2.9,-34.4
Matam,Kiryat Ata Center,1→23,13,4.9,0.0,4.9,63.3
Matam,Kiryat Bialik South,1→23,14,0.4,0.0,0.4,4.9
Matam,Shefaram,1→23,15,0.0,0.0,0.0,0.2
Matam,Nazareth Area,1→23,16,0.2,0.0,0.2,4.0
Neot Peres,TiratCarmel,23→1,2,11.6,5.2,6.3,12.7
Neot Peres,Matam,23→1,1,22.1,19.2,2.8,2.8
Neot Peres,Neve David,1→23,1,5.8,32.2,-26.4,-26.4
Neot Peres,Ein Hayam,1→23,2,3.3,5.5,-2.2,-4.4
Neot Peres,Bat Galim,1→23,3,16.9,14.0,2.9,8.8
Neot Peres,Kiryat Eliezer,1→23,4,12.8,36.2,-23.4,-93.6
Neot Peres,Hamoshava,1→23,5,4.9,3.8,1.2,5.8
Neot Peres,Lower City,1→23,6,16.8,28.8,-12.0,-71.9
Neot Peres,Hadar Carmel,1→23,7,10.6,8.2,2.4,16.8
Neot Peres,Namal,1→23,8,1.1,0.0,1.1,9.0
Neot Peres,Neve Yosef,1→23,9,5.7,1.8,4.0,35.8
Neot Peres,Hamifrats,1→23,10,8.4,27.8,-19.4,-194.0
Neot Peres,Hutzot,1→23,11,3.2,2.5,0.7,7.3
Neot Peres,Kiryat Ata Center,1→23,12,2.3,0.8,1.6,19.2
Neot Peres,Kiryat Bialik South,1→23,13,0.2,0.0,0.2,2.2
Neot Peres,Shefaram,1→23,14,0.0,0.0,0.0,0.1
Neot Peres,Nazareth Area,1→23,15,0.1,0.0,0.1,1.8
Neve David,TiratCarmel,23→1,3,77.2,103.0,-25.8,-77.4
Neve David,Matam,23→1,2,147.1,189.5,-42.4,-84.7
Neve David,Neot Peres,23→1,1,63.1,24.8,38.4,38.4
Neve David,Ein Hayam,1→23,1,22.1,38.8,-16.6,-16.6
Neve David,Bat Galim,1→23,2,113.0,53.2,59.7,119.5
Neve David,Kiryat Eliezer,1→23,3,85.6,178.0,-92.4,-277.3
Neve David,Hamoshava,1→23,4,32.8,30.8,2.0,8.1
Neve David,Lower City,1→23,5,111.7,99.0,12.7,63.6
Neve David,Hadar Carmel,1→23,6,71.0,86.8,-15.8,-94.6
Neve David,Namal,1→23,7,7.5,0.0,7.5,52.6
Neve David,Neve Yosef,1→23,8,38.2,19.5,18.7,149.3
Neve David,Hamifrats,1→23,9,55.7,83.0,-27.3,-246.0
