level,layer,direction,n sampled,PHF3h,start,PHF60,h6,h7,h8,peak hour,PHF3h p5,PHF3h p95,PHF60 p5,PHF60 p95
"corridor, by direction",CAR,1→23,194,0.6607,7.2500,0.8853,0.1617,0.5099,0.3284,07:15–08:15,0.5105,0.8089,0.5456,0.8708
"corridor, by direction",CAR,23→1,236,0.6256,7.0000,0.6557,0.1745,0.6256,0.1999,07:00–08:00,0.4737,0.7487,0.4562,0.7880
"corridor, both directions",CAR,both,430,0.5759,7.0000,0.6800,0.1690,0.5759,0.2552,07:00–08:00,,,,
"corridor, by direction",BUS,1→23,83,0.6817,7.2500,0.5852,0.0904,0.6068,0.3028,07:15–08:15,0.5907,0.8506,0.4128,0.7420
"corridor, by direction",BUS,23→1,44,0.5728,6.2500,0.4079,0.2624,0.5083,0.2294,06:15–07:15,0.4495,0.8361,0.3054,0.7009
"corridor, both directions",BUS,both,127,0.5704,7.0000,0.6672,0.1539,0.5704,0.2757,07:00–08:00,,,,
"corridor, by direction",TAXI,1→23,0,,,,,,,,,,,
"corridor, by direction",TAXI,23→1,7,0.9313,7.7500,0.2729,0.0162,0.9055,0.0782,07:45–08:45,0.5069,1.0000,0.2500,0.2893
"corridor, both directions",TAXI,both,7,0.9313,7.7500,0.2729,0.0162,0.9055,0.0782,07:45–08:45,,,,
"study area, all trips",CAR,—,15949,0.6209,7.0000,0.6859,0.1288,0.6209,0.2503,07:00–08:00,,,,
"study area, all trips",BUS,—,1790,0.5890,7.0000,0.7696,0.1651,0.5890,0.2459,07:00–08:00,,,,
"study area, all trips",TAXI,—,99,0.5879,7.0000,0.6633,0.0766,0.5879,0.3355,07:00–08:00,,,,
"study area, all trips",RAIL,—,54,0.5606,6.2500,0.5761,0.3726,0.2590,0.3684,06:15–07:15,,,,
"study area, all trips",OTHER,—,8971,0.7931,7.0000,0.6391,0.0690,0.7931,0.1379,07:00–08:00,,,,
