origin SZ,guarded segments (bus at survey volume),car 2018,car 2022,bus 2018,bus 2022,taxi 2018,taxi 2022,rail 2018,rail 2022,transit share 2022 (bus + rail)
1,0,41870.6547,45270.9560,2439.6735,2439.6735,497.3578,585.4898,715.0131,566.8292,0.0615
2,0,68015.9235,72398.0312,2751.2880,2751.2880,165.8239,187.4125,1032.8495,818.7952,0.0469
3,1,71922.4749,75590.2368,2898.3459,2992.8364,350.0000,367.0766,555.7293,440.5564,0.0432
4,2,44960.6364,47214.8103,1944.3412,2017.5014,32.0815,37.5944,0.0000,0.0000,0.0409
5,0,11713.4571,12263.6519,3081.4998,3081.4998,195.1019,189.9052,50.0726,39.6952,0.2004
6,0,27791.5967,30494.3848,4129.7497,4129.7497,52.9440,56.3410,102.6739,81.3951,0.1211
7,2,22821.6701,24806.3647,3395.8810,3658.5393,126.7394,128.6101,0.0000,0.0000,0.1279
8,0,19741.3077,20470.8809,2985.8367,2985.8367,42.1571,45.2193,322.4467,255.6208,0.1364
9,0,41338.3798,42076.7877,4419.2507,4419.2507,0.0000,0.0000,0.0000,0.0000,0.0950
10,0,13223.9635,14329.8818,144.0000,144.0000,0.0000,0.0000,0.0000,0.0000,0.0099
11,0,11999.5277,13033.2956,1438.5000,1438.5000,173.9635,181.1612,4.2664,3.3822,0.0984
12,0,8117.4414,8237.9313,1432.5262,1432.5262,0.0000,0.0000,0.0000,0.0000,0.1481
13,0,6400.5461,6956.0472,2255.3007,2255.3007,14.9508,14.4670,0.0000,0.0000,0.2445
14,1,15198.9338,16935.8703,4995.9987,5123.6437,127.6589,131.9461,39.7491,31.5112,0.2320
15,0,17159.1894,17676.8425,6216.7354,6216.7354,225.2488,221.6204,367.9132,291.6645,0.2667
16,1,55123.7589,55476.4656,7732.7678,7752.2543,299.1462,289.9122,115.9586,91.9266,0.1233
17,0,37105.8268,37707.5669,6967.8708,6967.8708,0.0000,0.0000,44.1021,34.9621,0.1566
18,1,17098.0848,16299.5956,2676.4677,2570.9781,14.1988,14.2955,0.0000,0.0000,0.1361
19,2,70181.5939,74922.2454,11561.2175,12238.0586,1867.6254,2009.0172,0.0000,0.0000,0.1372
20,1,18513.7424,19955.0920,3338.8650,3432.2067,444.9022,506.3874,0.0000,0.0000,0.1436
21,1,29309.0259,31303.1733,2834.9255,3000.0903,0.0000,0.0000,0.0000,0.0000,0.0875
22,0,57079.3333,59449.8612,2531.7887,2531.7887,595.1755,648.2920,0.0000,0.0000,0.0404
23,2,19311.0467,19889.7389,1429.1965,1461.1522,38.8719,41.9637,0.0000,0.0000,0.0683
24,0,29065.1182,31328.6934,2132.2758,2132.2758,0.0000,0.0000,0.0000,0.0000,0.0637
25,1,21874.0162,21738.5861,1020.9875,1060.2465,0.0000,0.0000,175.0000,138.7319,0.0523
30,3,34149.5233,36055.6725,1016.4998,1081.9354,0.0000,0.0000,0.0000,0.0000,0.0291
31,0,28584.3398,30181.1586,765.9996,765.9996,0.0000,0.0000,0.0000,0.0000,0.0248
32,1,46866.3258,50469.6316,1604.3495,1712.0637,175.0000,192.2687,0.0000,0.0000,0.0327
33,1,23904.3888,25927.6665,2896.7752,3120.3981,559.8240,597.1401,0.0000,0.0000,0.1053
34,3,50896.6309,52723.2696,2767.5310,2809.3388,363.6683,327.3590,380.7517,301.8423,0.0554
35,1,60281.1688,65785.4983,9307.0299,10011.8273,1118.3408,1129.5738,0.0000,0.0000,0.1301
36,1,55110.5438,58751.6191,6493.0885,6707.1769,574.3524,636.1390,350.0001,277.4638,0.1052
37,3,20767.6458,21854.8103,1916.8736,2014.0543,3.1717,3.5917,0.0000,0.0000,0.0844
38,0,46832.2192,49356.9788,2018.9999,2018.9999,0.0000,0.0000,0.0000,0.0000,0.0393
39,2,69171.5154,72155.7739,5329.3801,5684.7149,182.5483,134.1358,699.9998,554.9274,0.0795
40,1,70087.7793,74708.6549,6313.6412,6618.2363,668.9686,774.3219,152.5638,120.9455,0.0820
