home_sz,sampled_persons_1,weighted_persons_1,weighted_trips_1,rate_1,sampled_persons_2,weighted_persons_2,weighted_trips_2,rate_2,rate_avg
1,548,81020.1,67607,0.834448,548,81365.9,73537.9,0.903792,0.86912
2,783,135170,106163,0.785403,773,133070,100492,0.755186,0.770295
3,850,138267,105372,0.762093,836,135420,106655,0.787592,0.774843
4,1027,120680,74803.3,0.619849,1026,120646,77102,0.639076,0.629463
5,302,47512.3,34075.8,0.717199,296,46580.3,33304.7,0.714995,0.716097
6,229,37690.5,33145.1,0.879402,229,37574.3,34324.4,0.913508,0.896455
7,295,42593.3,37477.7,0.879897,275,39469,35907.3,0.909761,0.894829
8,357,36452.7,31637.3,0.867899,356,37063,34598.6,0.933508,0.900703
9,363,60567.7,64410.4,1.06344,359,60080.6,60100.4,1.00033,1.03189
10,414,35322.8,23753.2,0.672462,412,34974.8,22596.4,0.646078,0.65927
11,788,27335.4,26447.9,0.967534,787,27555.7,26373.4,0.957095,0.962314
13,32,8191.1,5005.01,0.61103,31,8140.88,5366.63,0.65922,0.635125
14,685,37262.7,36188.4,0.971169,677,36823.6,34131.5,0.92689,0.949029
15,403,42806.5,32524.7,0.759809,391,41556.3,32491.8,0.781875,0.770842
16,883,93110,80323,0.862668,867,91321.8,81934.6,0.897208,0.879938
17,752,61452.7,58293.6,0.948593,743,60715.8,58171.5,0.958095,0.953344
18,163,24627.9,25634.1,1.04085,156,24208.5,18485.7,0.763602,0.902229
19,733,229437,131297,0.572256,729,228220,143624,0.629323,0.600789
20,179,42546.7,31930.9,0.750491,175,41402.4,31725.2,0.766265,0.758378
21,428,59083.7,51336.1,0.86887,427,59037.7,49155.9,0.832618,0.850744
22,503,88496.3,81853.2,0.924933,499,87888.6,81202.1,0.923922,0.924427
23,322,33251.1,25441.4,0.765128,315,32636.9,26365.5,0.807844,0.786486
24,237,64477.9,54350.2,0.842927,237,64468.9,56106.7,0.870291,0.856609
25,86,25445.7,27970.9,1.09924,85,24941.5,31559,1.26532,1.18228
30,340,70462.7,49072.2,0.696428,339,70112.7,50176.7,0.715658,0.706043
31,236,52690.2,40215.7,0.763248,234,51518.6,39319.2,0.763204,0.763226
32,273,64704.2,69043.4,1.06706,274,64878.2,63688.8,0.981668,1.02436
33,220,61125.1,49334.3,0.807103,216,59725.1,49038.6,0.821071,0.814087
34,570,89829,80415.9,0.895211,558,88504.8,70816.1,0.800138,0.847675
35,778,129864,112671,0.867613,774,128940,109377,0.84828,0.857947
36,584,103901,96809.2,0.931744,578,102298,87055.3,0.850999,0.891372
37,139,31228.3,32497.3,1.04064,134,29980.6,32461.3,1.08274,1.06169
38,499,159174,118497,0.744452,499,159174,114828,0.721404,0.732928
39,324,106369,123746,1.16336,321,105247,114032,1.08347,1.12342
40,550,158521,144016,0.908492,534,154274,139924,0.906982,0.907737
