home_2636,sampled_persons_1,weighted_persons_1,weighted_trips_1,rate_1,sampled_persons_2,weighted_persons_2,weighted_trips_2,rate_2,rate_avg
22,2,292.485,0,0,2,292.485,51.7126,0.176805,0.0884023
75,1,350,0,0,1,350,0,0,0
195,,,,,1,144.667,434,3,3
219,,,,,1,288.004,0,0,0
460,16,1601.34,0,0,16,1682.91,0,0,0
626,,,,,1,5,0,0,0
723,1,350,350,1,,,,,1
772,1,37.1022,0,0,1,37.1022,0,0,0
934,1,249.19,0,0,1,249.19,0,0,0
970,1,225.299,0,0,1,225.299,0,0,0
1006,,,,,1,214.335,0,0,0
1075,,,,,1,350,0,0,0
1078,,,,,1,350,0,0,0
1174,1,67.4508,0,0,1,67.4508,67.4508,1,0.5
1245,,,,,1,350,0,0,0
1253,1,350,0,0,,,,,0
1273,1,93.4212,0,0,1,93.4212,0,0,0
1587,1,115.089,0,0,1,115.089,0,0,0
1633,,,,,1,77.8162,0,0,0
1667,51,3031.26,1897.38,0.625939,50,2981.15,2732.62,0.91663,0.771285
1668,62,5151.59,3873.68,0.75194,55,4434.68,3663.16,0.826025,0.788982
1669,78,5907.37,4818.08,0.815606,77,5833.27,5081.8,0.871176,0.843391
1670,38,4066.6,4483.7,1.10257,36,3830.37,4244.39,1.10809,1.10533
1671,26,4071.83,2837.25,0.696799,25,3986.27,3245.53,0.814178,0.755489
1681,14,4644.65,3150,0.678199,14,4644.65,2450,0.527488,0.602844
1682,14,2767.28,1855.01,0.670336,13,2717.06,2916.63,1.07345,0.871894
1684,3,774.165,0,0,3,774.165,0,0,0
1685,1,5,0,0,1,5,0,0,0
1686,22,1152.65,891.987,0.773857,22,1152.65,839.469,0.728294,0.751076
1687,51,4705.11,4747.14,1.00893,55,5133.2,4488.23,0.874354,0.941644
1688,27,1934.21,1330.47,0.687859,25,1641.47,784.169,0.477725,0.582792
1689,44,2565.83,2757.81,1.07482,45,2619.72,3248.4,1.23998,1.1574
1690,114,6550.53,6123.26,0.934773,102,5902.38,5651.17,0.957439,0.946106
1691,25,2871.86,1471.69,0.512451,29,3551.61,2796.61,0.787421,0.649936
1692,258,8339.01,8601.31,1.03145,264,8614.04,7938.67,0.921596,0.976525
1693,17,2756.03,1906.3,0.691684,17,2712.2,1409.74,0.519776,0.60573
1694,81,4372.26,6674.82,1.52663,78,4305.63,6641.9,1.54261,1.53462
1695,71,4887.09,3155.29,0.645639,69,4742.34,3129.72,0.659953,0.652796
1697,61,6371.49,5065.28,0.794992,59,6242.11,4791.55,0.767617,0.781305
1698,19,2748.94,1481.64,0.538987,20,2792.18,1318.4,0.472174,0.505581
1699,73,3707.18,4268.1,1.15131,72,3631.1,3351.43,0.922977,1.03714
1700,138,7630.25,5774.34,0.75677,135,7708.39,7003.38,0.90854,0.832655
1701,68,4039.67,3591.03,0.888942,65,3841.2,3279.53,0.853777,0.871359
1702,31,5101.65,5916.31,1.15969,30,5142.44,5756.82,1.11947,1.13958
1703,82,4544.19,5699.04,1.25414,81,4392.75,5986.09,1.36272,1.30843
1704,2,288.273,864.82,3,1,117.08,351.24,3,3
1705,7,2380.18,1015.09,0.426476,6,2065.09,665.091,0.322064,0.37427
1706,6,518.898,238.221,0.45909,5,429.481,148.804,0.346474,0.402782
