dest SZ,corridor,survey BUS arrivals,calibrated BUS arrivals,RavKav inferred alightings,OnBoard-informed alightings,calibrated / RavKav
1,False,2370.21,2350.50,1836.75,2560.60,1.28
2,False,3897.10,2629.55,1840.00,2612.80,1.43
3,False,3102.14,2914.11,2408.25,1408.99,1.21
4,True,492.98,475.89,492.75,623.14,0.97
5,False,1422.13,1281.10,1367.75,2101.15,0.94
6,False,2219.49,2567.94,2688.50,2484.42,0.96
7,True,3264.95,2733.42,1341.00,3241.06,2.04
8,False,2279.37,1814.17,1516.50,2033.77,1.20
9,True,4434.00,3030.43,2768.00,3567.75,1.09
10,True,113.27,91.73,30.75,72.78,2.98
11,True,942.17,1202.69,1095.00,2025.34,1.10
12,True,6912.13,7620.45,7708.00,5937.68,0.99
13,True,5488.21,5118.26,4302.50,5415.82,1.19
14,True,6916.92,5666.04,5074.50,7143.03,1.12
15,True,6371.97,8098.98,9476.75,11043.33,0.85
16,False,13366.62,9117.68,7115.25,11003.79,1.28
17,True,5799.49,4960.06,4658.00,7447.78,1.06
18,True,2087.63,1892.00,1989.75,2239.89,0.95
19,True,6574.60,6483.45,2291.25,1386.70,2.83
20,True,2580.24,3388.55,2845.25,119.70,1.19
21,True,3689.73,3770.76,1696.75,1869.61,2.22
22,False,2051.07,2115.72,2304.50,3632.98,0.92
23,False,1000.49,935.12,358.50,295.48,2.61
24,True,1455.68,1663.37,1974.75,2394.03,0.84
25,False,2344.25,1323.81,533.50,1022.08,2.48
30,False,2511.67,2264.80,381.25,255.07,5.94
31,False,785.97,644.96,462.75,521.38,1.39
32,False,1993.63,2025.96,1125.50,863.88,1.80
33,False,2870.21,2776.10,867.75,856.24,3.20
34,False,1554.52,1664.29,648.25,752.38,2.57
35,False,9795.81,6479.86,5090.25,812.60,1.27
36,False,4335.74,4386.47,4118.25,746.68,1.07
37,False,665.33,801.52,484.50,54.71,1.65
38,False,0.00,135.27,1217.00,927.28,0.11
39,False,4345.16,4866.69,2737.50,1128.32,1.78
40,False,5403.87,6138.74,5592.25,2110.54,1.10
