origin SZ,corridor,segment,survey BUS trips,RavKav journeys,ratio RavKav / survey,n sampled (2 days),basis,guarded,factor applied,flag
1,False,local,1313.6012,1504.5918,1.1454,21,segment ratio,False,1.1454,
1,False,"inter-SZ, corridor-bound",202.8669,278.5442,1.3730,3,origin-wide ratio (segment has < 5 sampled trips),False,0.8818,
1,False,"inter-SZ, other",1344.1042,739.2282,0.5500,14,segment ratio,False,0.5500,
2,False,local,1975.1637,1156.8734,0.5857,34,segment ratio,False,0.5857,
2,False,"inter-SZ, corridor-bound",688.4790,598.5147,0.8693,7,segment ratio,False,0.8693,
2,False,"inter-SZ, other",409.6265,995.9001,2.4312,5,segment ratio,False,2.4312,
3,False,local,2462.5924,509.4482,0.2069,19,segment ratio,True,1.0000,ticketing under-coverage → survey volume kept
3,False,"inter-SZ, corridor-bound",239.0626,1183.8000,4.9518,2,origin-wide ratio (segment has < 5 sampled trips),False,0.9829,
3,False,"inter-SZ, other",204.2638,1163.0364,5.6938,3,origin-wide ratio (segment has < 5 sampled trips),False,0.9829,
4,True,local,525.0596,396.0262,0.7542,13,segment ratio,False,0.7542,
4,True,"inter-SZ, corridor-bound",981.0362,307.8828,0.3138,12,segment ratio,True,1.0000,ticketing under-coverage → survey volume kept
4,True,"inter-SZ, other",567.2788,168.0911,0.2963,10,segment ratio,True,1.0000,ticketing under-coverage → survey volume kept
5,False,local,900.9665,520.7825,0.5780,13,segment ratio,False,0.5780,
5,False,"inter-SZ, corridor-bound",725.0728,1675.4353,2.3107,8,segment ratio,False,2.3107,
5,False,"inter-SZ, other",392.4245,885.2818,2.2559,5,segment ratio,False,2.2559,
6,False,local,598.5638,820.0849,1.3701,11,segment ratio,False,1.3701,
6,False,"inter-SZ, corridor-bound",923.5671,2243.8099,2.4295,17,segment ratio,False,2.4295,
6,False,"inter-SZ, other",633.8066,1065.8550,1.6817,9,segment ratio,False,1.6817,
7,True,local,352.7204,552.4404,1.5662,7,segment ratio,False,1.5662,
7,True,"inter-SZ, corridor-bound",339.0831,482.0806,1.4217,4,origin-wide ratio (segment has < 5 sampled trips),False,1.3003,
7,True,"inter-SZ, other",481.6147,491.2291,1.0200,6,segment ratio,False,1.0200,
8,False,local,702.6853,529.5417,0.7536,15,segment ratio,False,0.7536,
8,False,"inter-SZ, corridor-bound",844.1312,1878.8044,2.2257,11,segment ratio,False,2.2257,
8,False,"inter-SZ, other",452.0301,577.4903,1.2775,9,segment ratio,False,1.2775,
9,True,local,3212.3842,1887.6355,0.5876,50,segment ratio,False,0.5876,
9,True,"inter-SZ, corridor-bound",1010.5518,1796.3563,1.7776,10,segment ratio,False,1.7776,
9,True,"inter-SZ, other",723.0929,735.2584,1.0168,6,segment ratio,False,1.0168,
10,True,local,113.2728,6.3223,0.0558,3,origin-wide ratio (segment has < 5 sampled trips),False,0.6552,
10,True,"inter-SZ, corridor-bound",0.0000,90.6063,,0,no survey trips in segment,False,1.0000,
10,True,"inter-SZ, other",106.5104,47.0714,0.4419,4,origin-wide ratio (segment has < 5 sampled trips),False,0.6552,
11,True,local,565.0212,638.9638,1.1309,89,segment ratio,False,1.1309,
11,True,"inter-SZ, corridor-bound",761.6279,595.3135,0.7816,32,segment ratio,False,0.7816,
11,True,"inter-SZ, other",229.9562,204.2228,0.8881,15,segment ratio,False,0.8881,
12,True,local,0.0000,90.5198,,0,no survey trips in segment,False,1.0000,
12,True,"inter-SZ, corridor-bound",644.9134,1294.4567,2.0072,4,origin-wide ratio (segment has < 5 sampled trips),False,3.3844,
