origin SZ,corridor,main localities,Arab-sector pop share,survey BUS departures,RavKav journey boardings,ratio RavKav / survey,RavKav leg boardings / journeys,n sampled (2 days),lambda,factor applied,flag
1,False,"נהריה, מועצה אזורית מטה אשר",0.0878,2860.5723,2522.3642,0.8818,1.4142,38,0.8837,0.8818,
2,False,"עכו, ג'דיידה-מכר",0.6805,3073.2692,2751.2882,0.8952,1.4212,46,0.9020,0.8952,
3,False,"כרמיאל, מועצה אזורית משגב",0.5248,2905.9188,2856.2847,0.9829,1.5216,24,0.8276,0.9829,
4,True,"שפרעם, טמרה",0.9904,2073.3746,872.0000,0.4206,1.0731,35,0.8750,1.0000,ticketing under-coverage → survey volume kept
5,False,"קרית ים, קרית מוצקין",0.0000,2018.4637,3081.4996,1.5267,1.2586,26,0.8387,1.5267,
6,False,"קרית מוצקין, רפאל- מכון דוד""",0.0000,2155.9374,4129.7498,1.9155,1.5937,37,0.8810,1.9155,
7,True,"קרית ביאליק, מועצה אזורית מטה אשר",0.0000,1173.4182,1525.7501,1.3003,1.4504,17,0.7727,1.3003,
8,False,חיפה,0.0025,1998.8466,2985.8364,1.4938,1.7308,35,0.8750,1.4938,
9,True,"קרית אתא, מועצה אזורית זבולון",0.0000,4946.0290,4419.2502,0.8935,1.3390,66,0.9296,0.8935,
10,True,"כפר מנדא, ביר אל-מכסור",0.9353,219.7831,144.0000,0.6552,1.1372,7,0.5833,0.6552,
11,True,"מועצה מקומית רכסים, מועצה אזורית זבולון",0.1722,1556.6053,1438.5001,0.9241,1.2226,136,0.9645,0.9241,
12,True,חיפה,0.0000,644.9134,2182.6355,3.3844,5.3960,4,0.4444,3.3844,transfer hub (boarding frame)
13,True,חיפה,0.6900,1154.4615,1776.7503,1.5390,2.7857,10,0.6667,1.5390,transfer hub (boarding frame)
14,True,חיפה,0.2321,5599.3057,4301.4663,0.7682,1.7059,156,0.9689,0.7682,
15,True,חיפה,0.1404,5144.3421,6216.7355,1.2085,2.1465,89,0.9468,1.2085,
16,False,חיפה,0.0673,8847.6396,5333.0003,0.6028,1.6520,156,0.9689,0.6028,
17,True,חיפה,0.0679,7335.1224,6967.8707,0.9499,1.5982,177,0.9725,0.9499,
18,True,"נשר, חיפה",0.0000,2399.5148,1618.2499,0.6744,1.2812,29,0.8529,0.6744,
19,True,"נצרת, כפר כנא",0.9913,12429.1323,2642.7497,0.2126,1.3203,88,0.9462,1.0000,ticketing under-coverage → survey volume kept
20,True,"נוף הגליל, נצרת",0.3036,2520.1112,2834.5004,1.1248,1.4314,25,0.8333,1.1248,
21,True,"מגדל העמק, מועצה אזורית עמק יזרעאל",0.1759,2911.1257,1722.2497,0.5916,1.5924,32,0.8649,0.5916,
22,False,"יוקנעם, קרית טבעון",0.1591,3113.1281,2643.7494,0.8492,1.3212,32,0.8649,0.8492,
23,False,"דאלית אל-כרמל, מועצה מקומית עוספיא",0.9826,1827.5392,788.5000,0.4315,1.7416,29,0.8529,1.0000,ticketing under-coverage → survey volume kept
24,True,"טירת הכרמל, פוריידיס",0.2296,1341.4792,2427.2318,1.8094,1.2218,10,0.6667,1.8094,
25,False,"זכרון יעקב, מועצה אזורית חוף הכרמל",0.0000,1137.5494,597.2499,0.5250,1.1415,9,0.6429,0.5250,
30,False,"סח'נין, עראבה",1.0000,1016.4997,289.5001,0.2848,1.0976,10,0.6667,1.0000,ticketing under-coverage → survey volume kept
31,False,"מועצה אזורית גולן, מועצה מקומית מסעדה",0.5051,221.9320,765.9996,3.4515,1.1250,2,0.2857,3.4515,"thin survey row, RavKav volume"
32,False,"קרית שמונה, מועצה אזורית גליל עליון",0.1052,1678.8179,1091.0006,0.6499,1.4315,17,0.7727,0.6499,
33,False,"צפת, מועצה אזורית מרום גליל",0.0828,3155.7357,1058.0004,0.3353,1.3093,21,0.8077,1.0000,ticketing under-coverage → survey volume kept
34,False,"מעלות-תרשיחא, בית ג'ן",0.6042,2783.4102,887.9534,0.3190,1.1819,30,0.8571,1.0000,ticketing under-coverage → survey volume kept
35,False,"טבריה, מועצה אזורית עמק הירדן",0.2899,8672.2353,4820.0002,0.5558,1.4363,110,0.9565,0.5558,
36,False,"עפולה, מועצה אזורית עמק יזרעאל",0.3066,4259.8436,4480.2519,1.0517,1.4883,43,0.8958,1.0517,
37,False,"בית שאן, מועצה אזורית עמק המעיינות",0.0000,1916.8738,722.2494,0.3768,1.6760,13,0.7222,1.0000,ticketing under-coverage → survey volume kept
38,False,"אום אל פאחם, ערערה",0.8613,350.0000,2018.9998,5.7686,1.4279,2,0.2857,5.7686,"thin survey row, RavKav volume"
39,False,"פרדס חנה- כרכור, אור עקיבא",0.1400,5329.3812,3027.9998,0.5682,2.3200,35,0.8750,0.5682,
40,False,"חדרה, באקה אל גרבייה",0.2825,5310.4574,4771.4015,0.8985,2.0445,40,0.8889,0.8985,
