origin SZ,corridor,n sampled (2 days),lambda (survey weight)
1,False,36,0.9474
2,False,46,0.9583
3,False,24,0.9231
4,True,34,0.9444
5,False,38,0.9500
6,False,52,0.9630
7,True,46,0.9583
8,False,44,0.9565
9,True,76,0.9744
10,True,7,0.7778
11,True,140,0.9859
12,True,6,0.7500
13,True,15,0.8824
14,True,164,0.9880
15,True,138,0.9857
16,False,161,0.9877
17,True,190,0.9896
18,True,32,0.9412
19,True,83,0.9765
20,True,23,0.9200
21,True,32,0.9412
22,False,32,0.9412
23,False,28,0.9333
24,True,14,0.8750
25,False,9,0.8182
30,False,10,0.8333
31,False,2,0.5000
32,False,17,0.8947
33,False,20,0.9091
34,False,29,0.9355
35,False,109,0.9820
36,False,43,0.9556
37,False,13,0.8667
38,False,2,0.5000
39,False,35,0.9459
40,False,40,0.9524
