AggAreaCode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,10099.9,730.29,175,0,175,126.341,223.659,0,188.734,0,112.06,87.4943,301.29,0,392.038,0,0,0,0,0,0,0,0,0,0,167.588,119.062,0
2,123.664,430.647,0,0,175,0,0,29.9409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,148.069,173.98,0,0,8.37797,14.8314,0,175,0,0,0,0,48.2831,0,0,0,0,0,0,0,0,0,0,0,7.79317,0,0
4,177.743,204.41,115.062,343.912,319.443,140.081,66.9711,0,0,269.863,0,0,58.867,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3494,0
5,205.78,50.6877,17.262,306.519,323.92,216.603,80.9981,970.324,104.71,398.769,0,0,22.5857,0,0,0,0,0,0,0,0,0,0,18.9747,66.4365,34.4273,61.0589,0
6,134.475,124.315,0,108.808,66.6672,1534.05,335.022,91.9777,43.5178,31.9348,6.01528,23.0681,144.296,3.4757,0,0,0,0,0,0,0,0,0,0,104.742,0.560998,74.3931,0
7,270.678,332.266,0,187.839,177.041,817.075,345.067,299.973,350.56,162.778,64.771,0,84.4189,37.4255,0,0,0,0,0,0,0,0,0,0,0,6.04069,43.5229,0
8,0,214.358,0,0,0,1553.84,33.4217,513.789,49.1729,110.325,0,13.2668,144.32,0,0,0,0,0,6.85894,0,0,0,0,0,0,0,199,65.2657
9,0,0,0,0,0,6.93854,12.2832,442.321,868.176,79.3571,33.4042,0,24.7499,0,166.757,0,65.1179,0,19.1995,0,0,0,125.639,0,101.989,16.8997,9.10246,0
10,0,0,37.0928,29.9744,23.4709,11.4843,20.3305,177.177,365.23,1516.01,6.07654,0,55.6192,102.051,203.602,0,0,0,0,0,0,0,0,0,0,13.5192,169.81,7.32515
11,7.36238,6.37203,0,0,0,0,0,0,7.07708,0,515.452,90.6434,5.15512,0,0,0,0,0,0,0,0,0,0,21.5424,129.668,51.3663,0,0
12,77.2777,0,0,0,0,0,0,0,0,0,70.3098,0,17.8933,0,0,0,0,0,0,0,0,0,0,0,0,0,106.28,0
13,0,35.5572,42.9745,2.04226,1.92486,94.3945,167.106,0,4.44301,0,10.0118,0,173.466,28.2108,0,0,8.69968,9.9288,0.429569,0,0,0,0,15.4966,90.1056,44.0646,37.4639,9.9288
14,0,112.814,0,0,0,0,0,0,19.0321,0,11.0412,0,74.7921,422.307,114.411,43.2637,0,0,0,0,0,0,0,125.036,375.45,76.1098,25.6403,131.743
15,0,27.3603,0,0,0,20.8415,36.8954,0,0,0,0,0,0,0,54.1378,72.4391,0,0,36.0034,0,87.4943,0,0,204.705,178.882,62.5504,0,95.0391
16,0,0,0,0,0,0,0,0,159.677,152.742,192.619,0,205.402,135.948,120.467,1172.16,0,116.315,0,0,0,0,0,0,755.684,21.9427,404.995,3763.51
17,0,0,39.787,0,0,300.154,173.8,0,116.989,0,0,0,457.801,96.0948,187.024,342.801,189.58,0,0,0,0,0,0,18.673,641.036,49.3902,78.0505,187.399
18,0,160.097,408.716,0,0,0,0,0,80.0486,0,0,72.3483,0,52.313,47.7671,116.315,0,745.491,0,116.315,0,0,0,47.7671,481.56,8.44362,0,1789.72
19,0,0,0,0,0,101.744,0,0,195.085,54.8183,90.9338,86.9161,155.992,10.6073,295.684,161.824,0,0,1629.15,3.74817,11.3887,0,52.714,0,66.9171,27.2182,368.984,0
20,0,0,0,0,0,92.6239,163.971,0,0,0,0,0,22.4938,0,0,0,0,116.315,71.22,1189.45,0,0,59.2193,11.4456,747.333,0,0,135.497
21,95.1073,0,0,0,0,0,0,0,0,0,37.1801,0,0,57.6828,0,0,0,0,260.076,45.0174,4391.68,18.7436,102.122,0,40.0495,9.31033,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,73.522,0,255.945,0,0,0,0,0,0,1200.91,0,0,61.8577,0,303.387,0
23,0,0,0,0,0,190.668,0,0,133.672,0,0,0,98.5606,0,0,0,0,0,146.823,0,0,336.432,14989,0,0,0,89.9665,0
24,0,168.552,23.182,23.182,0,267.435,92.5005,0,350.204,258.218,27.3857,0,270.581,687.003,521.38,0,406.53,0,0,0,0,0,0,7781.8,5944.39,424.484,420.909,163.268
25,298.728,573.347,0,0,0,504,87.6219,0,804.282,354.356,551.563,59.6819,1087.98,1684.03,1092.54,343.186,2544.63,95.5343,0,0,0,86.686,39.1528,5122.52,30619.2,1134.33,1095.71,508.131
26,0,8.42449,15.0144,15.0144,0,0,0,0,13.6558,0,46.909,0,29.4496,64.4903,28.5304,6.98301,0,0,0,0,0,0,0,88.349,304.927,138.226,4.13849,21.2641
27,0,66.2556,342.204,16.2625,15.3276,55.8146,98.8079,0,12.7829,97.1731,46.0363,212.56,889.097,20.4688,0,12.2452,69.2752,79.0627,3.42065,0,0,0,0,15.7044,69.2752,61.1413,2376,79.0627
28,95.2787,0,0,0,37.8014,0,0,190.078,204.208,28.8954,209.107,0,657.284,232.536,1081.49,4596.23,95.9239,0,0,0,0,0,98.4204,128.827,1851.91,46.9259,275.25,13947.7
