origin SZ,corridor,CAR,TRANSIT survey,TRANSIT calibrated,transit share (survey),transit share (calibrated)
1,False,41870.6407,3825.0560,3851.6714,0.0837,0.0842
2,False,68015.9270,4359.3735,4000.6732,0.0602,0.0556
3,False,71922.4614,3811.6481,3064.1768,0.0503,0.0409
4,True,44960.6283,2073.3746,1943.3965,0.0441,0.0414
5,False,11713.4570,3222.4022,3316.1744,0.2157,0.2206
6,False,27791.5985,3327.2335,4278.1179,0.1069,0.1334
7,True,22821.6722,3903.5068,3658.1414,0.1461,0.1381
8,False,19741.3089,2852.4400,3340.8538,0.1262,0.1447
9,True,41338.3743,5639.7226,4409.2500,0.1201,0.0964
10,True,13223.9644,219.7831,144.0000,0.0163,0.0108
11,True,11999.5367,1696.6604,1738.1862,0.1239,0.1265
12,True,8117.4422,756.7886,1434.4680,0.0853,0.1502
13,True,6400.5470,1639.7468,2137.2516,0.2039,0.2503
14,True,15198.9368,6013.9521,4462.9079,0.2835,0.2270
15,True,17159.1899,7999.1550,6807.6621,0.3180,0.2840
16,False,55123.7564,9672.5142,5781.4494,0.1493,0.0949
17,True,37105.8242,7886.8203,7000.1021,0.1753,0.1587
18,True,17098.0829,2682.2337,2616.4646,0.1356,0.1327
19,True,70181.6058,13451.7653,13451.7653,0.1608,0.1608
20,True,18513.7433,2815.3773,3695.9002,0.1320,0.1664
21,True,29309.0268,2911.1257,2834.3482,0.0904,0.0882
22,False,57079.3348,3708.3039,3373.5277,0.0610,0.0558
23,False,19311.0405,1846.9752,1846.9752,0.0873,0.0873
24,True,29065.1255,1983.6741,2151.0588,0.0639,0.0689
25,False,21874.0236,1312.5494,1195.9871,0.0566,0.0518
30,False,34149.5236,1016.4997,1016.4997,0.0289,0.0289
31,False,28584.3346,221.9320,764.5000,0.0077,0.0260
32,False,46866.3281,1853.8179,1765.9837,0.0381,0.0363
33,False,23904.3922,3540.5593,3540.5593,0.1290,0.1290
34,False,50896.6416,3511.9501,3511.9501,0.0645,0.0645
35,False,60281.1693,9735.1082,6089.4975,0.1390,0.0917
36,False,55110.5434,5184.1961,5181.0131,0.0860,0.0859
37,False,20767.6362,1920.0455,1920.0455,0.0846,0.0846
38,False,46832.2117,350.0000,2019.0000,0.0074,0.0413
39,False,69171.5730,6211.9300,5445.4356,0.0824,0.0730
40,False,70087.7823,6299.4405,5660.3971,0.0825,0.0747
