AggAreaCode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,222.558,124.824,98.4748,30.5323,23.716,258.506,68.594,21.4957,330.578,134.57,2.80392,19.4633,8.13972,5.62699,4.81264,1.24416,0.711065,0.309113,0,0,0,0,0.182578,7.5333,14.0234,1.08297,16.1948,2.5882
2,15.6306,53.0225,42.5528,13.1936,10.2481,36.7665,29.6407,15.7126,28.2309,30.8223,4.03101,14.9986,11.7019,8.08954,7.62248,5.25801,0.0538262,1.30636,0,0.000794333,0.00222582,0,0.00471417,9.46628,10.2243,1.55691,1.77815,11.2853
3,0.54531,1.92565,1.54562,0.479223,0.372238,1.33564,1.07662,0.572511,1.02866,1.11193,0.147202,0.54662,0.427323,0.295408,0.278412,0.192299,0.00188451,0.0477768,0,2.90734e-05,8.14674e-05,0,0.000150569,0.345569,175.373,0.0568542,0.0631329,0.412743
4,46.4861,164.156,249.533,40.8524,70.9673,212.801,266.934,100.284,87.6903,115.505,12.5485,46.5978,36.428,25.1827,23.7338,16.3929,0.160649,4.07283,0,0.00247842,0.00694485,0,0.0128356,29.4587,31.7573,4.84665,5.38189,35.1852
5,182.535,145.686,139.299,77.6102,62.1376,228.61,307.274,170.879,77.8235,102.063,11.1366,41.3547,32.3292,22.3492,58.604,14.5484,31.7906,3.61456,0,0.00219956,0.00616343,0,0.0113913,26.1441,28.184,4.30132,4.77633,31.2262
6,19.541,83.2309,120.959,23.3568,21.4365,47.8623,38.5805,20.5158,36.8617,41.7372,5.27493,19.588,15.313,10.5859,21.9892,6.89098,0.0675309,1.71207,0,0.00104184,0.00291936,0,0.00539559,12.3834,13.3496,2.03735,2.26235,14.7905
7,38.5204,289.205,109.182,100.439,113.486,94.349,76.0522,40.4419,72.664,98.9126,10.3982,38.613,30.1859,20.8675,149.014,13.5839,0.133121,3.37493,0,0.00205373,0.00575481,0,0.0106361,24.4108,26.3155,4.01615,4.45967,29.156
8,6.44796,35.5327,28.5533,8.85301,6.8766,25.7432,19.8892,12.1956,22.2644,24.4016,7.13897,366.787,48.1028,14.3267,11.6715,0.298974,0.628818,0.0742804,0.0271922,0.000850476,0.175418,0.00291658,0.00675084,1.21284,15.8985,2.75731,26.25,0.993699
9,6.5784,36.2515,29.131,9.0321,7.01571,26.2639,20.2916,12.4423,22.7148,24.8952,7.28339,17.1262,21.1435,69.7241,11.9076,0.305023,0.641539,0.075783,0.0277423,0.000867681,0.178966,0.00297558,0.0068874,1.23738,16.2202,11.7078,12.3802,1.0138
10,5.81214,46.7987,37.631,11.6676,9.06281,47.8149,49.9217,66.1854,33.3932,69.6099,11.4536,23.0349,33.2494,22.9853,18.6848,0.279842,0.717118,0.0695269,0.017208,0.00175748,0.105851,0.00178178,1.1734,3.00089,15.4556,4.42375,26.2549,1.35036
11,0.933395,32.6126,26.2525,8.13963,6.32248,22.0812,18.2865,55.8296,99.0498,146.558,0,47.7896,0,0,0.111043,0.547481,2.76008,0.136022,0.93069,0.00261998,1.73675,0.010494,0.182253,0,68.718,0,12.8645,2.28412
12,33.6988,32.6213,25.9593,8.04873,6.25187,23.734,18.0823,16.7267,30.3661,51.1122,7.85285,26.0437,22.7966,15.7593,13.1546,1.88705,0.765988,0.468839,0.0232311,0.000949883,0.137636,0.00236501,0.00621315,2.78869,16.9983,3.03303,13.8901,4.34079
13,1.11746,39.0439,31.4296,9.74479,7.56929,26.4357,21.8927,66.8393,118.583,175.459,0,57.2138,0,0,0.132941,0.655445,3.30438,0.162846,1.11423,0.00313665,2.07924,0.0125635,0.218194,0,24.9558,0,15.4014,2.73456
14,0.138155,4.82709,3.88571,1.20477,0.935809,3.26831,2.70664,8.2635,69.7683,21.6924,0,7.07348,0,0,0.0164358,0.0810342,0.408528,0.020133,0.137754,0.000387791,0.257061,0.00155325,0.0269759,0,3.08534,0,1.90411,0.33808
15,0.190303,6.5972,5.31061,1.64656,1.27897,4.48031,3.69917,11.2907,20.0362,29.6565,0.0558512,9.69945,0.162135,0.112084,0.210022,0.587625,0.587801,0.145996,0.188255,0.000551721,0.350996,0.00212129,0.0369831,0.219344,4.82297,0.0215716,2.70604,1.46358
