AggAreaCode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,175,0,343.948,0,0,175,0,0,318.918,209.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,119.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0
4,0,22.6141,170.383,19.6573,39.2351,243.954,316.674,51.4791,111.704,163.202,0,0,0,0,0,74.1625,0,0,0,0,0,0,0,0,107.366,0,0,61.6847
5,225.865,19.5828,67.9218,58.3768,33.9758,253.136,348.37,127.566,48.4554,136.247,0,0,0,0,37.5407,0,31.648,0,0,0,0,0,0,0,144.722,0,0,60.5806
6,0,14.2256,65.5724,17.7485,18.9971,183.74,0,0,120.688,56.7326,0,0,0,5.92647,12.0124,0,0,0,0,0,0,0,0,0,0,0.956566,0,0
7,0,153.178,0,66.5874,87.1914,0,0,0,218.999,153.141,0,0,0,63.8148,129.347,0,0,0,0,0,0,0,0,0,0,10.3001,0,0
8,0,0,0,0,0,0,0,0,0,0,0,350,27.3785,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1152,0
9,0,0,0,0,0,40.7401,0,0,0,2.2784,33.4471,111.186,0,55.1076,0,0,0,0,0,0,0,0,0,0,0,8.89468,0,0
10,0,5.03346,0,15.6266,14.7283,43.6367,77.2495,47.9308,0,68.4485,55.3598,0,5.9587,0,0,0,0,0,0,0,0,0,0,0,34.001,0,58.6449,0
11,0,0,0,0,0,0,0,0,0,154.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.8729,0,0,0
12,161.641,119.913,0,0,0,0,0,0,0,71.5642,0,0,96.0168,0,0,0,0,0,0,0,0,0,0,0,0,0,49.5023,0
13,0,0,0,0,0,0,0,0,0,0,0,119.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,55.1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.565,189.354,0,0,0,0,0,0,0,0,175.024,0,0,180.503
17,182.264,0,0,0,0,0,0,0,53.3137,0,0,40.7428,0,0,0,0,286.972,0,0,0,0,0,0,0,65.1179,0,0,79.574
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.422,0,318.554,0,0,0,0,0,0,0,0,0,832.901
19,0,0,0,0,0,0,0,0,0,0,0,35.1568,0,5.14055,0,0,0,0,27.4242,0,0,0,0,0,0,0.829714,50.8719,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,124.741,0,0,0,0,0,0,0,46.0458,0,0,0,0,0,0,0,0,1063.92,0,350,7.43206,0,0
24,0,66.2227,0,0,0,63.1703,111.83,0,86.6024,116.66,132.445,0,65.3993,280.331,755.827,431.98,0,0,0,0,0,0,0,1128.03,937.168,45.247,18.3644,35.5906
25,0,121.764,257.569,0,0,0,0,0,856.744,58.2481,172.461,137.593,66.9648,68.7965,450.1,16.1335,971.5,0,0,0,0,0,0,532.088,2089.17,29.7212,78.316,255.714
26,0,0,0,0,0,0,0,0,8.89468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,350,0,0,0,0,0,0,0,0,0,0,0,0,137.656,0,0,0,0,0,0,0,0,0,0,0,5.43033,0
28,0,0,175,0,0,88.9357,0,0,135.498,0,0,0,400.395,0,83.8365,397.579,0,0,0,0,0,0,0,159.86,521.657,0,184.386,1118.22
