home_sz,sampled_persons_10,weighted_persons_10,weighted_trips_10,rate_10,sampled_persons_20,weighted_persons_20,weighted_trips_20,rate_20,rate_avg
1,547,81064.6,72548.5,0.894946,547,81226.8,74969,0.922959,0.908953
2,725,128578,102063,0.793786,713,126110,95564.8,0.757789,0.775787
3,903,144165,117729,0.816624,894,141855,116080,0.818301,0.817463
4,1027,120680,73847.3,0.611927,1026,120646,77468.3,0.642112,0.62702
5,262,41217.7,32220.3,0.781709,257,40332.9,31696,0.785862,0.783786
6,269,44033.3,41325.3,0.938501,265,43474.4,41477.8,0.954075,0.946288
7,295,42679.2,42147.6,0.987544,274,39737.9,37588.5,0.945909,0.966726
8,355,36130.1,32973.8,0.91264,352,36058.1,33856.2,0.938937,0.925788
9,363,60567.7,66456.3,1.09722,358,60021,66495.9,1.10788,1.10255
10,416,35430.3,24905.9,0.702954,413,34989.5,23237.2,0.664119,0.683536
11,787,27053.3,27369.2,1.01168,787,27555.7,26706.4,0.96918,0.990429
13,42,10987.6,10759.6,0.979248,41,10982.6,10433.3,0.949988,0.964618
14,720,37584.8,37802.3,1.00579,708,37098.8,37221.7,1.00331,1.00455
15,399,41961.2,42272,1.00741,386,40774.7,40464.7,0.992398,0.999902
16,864,92395.5,86640.7,0.937715,847,91006.2,87468.8,0.96113,0.949423
17,720,58940.6,65896.3,1.11801,704,57406,62312.1,1.08546,1.10174
18,163,24627.9,28990.6,1.17714,156,24208.5,23906.3,0.987517,1.08233
19,733,229437,142403,0.620661,726,227170,154415,0.679735,0.650198
20,179,42546.7,32058.8,0.753498,174,41155.5,33473.7,0.813346,0.783422
21,428,59083.7,56069.3,0.94898,427,59037.7,55013.3,0.931833,0.940407
22,503,88496.3,88606.7,1.00125,498,87854.2,86721.5,0.987107,0.994177
23,322,33251.1,25650.6,0.771422,315,32636.9,28055.7,0.859632,0.815527
24,236,64224.9,62483.7,0.972889,235,63768.9,62490.9,0.979958,0.976423
25,86,25445.7,30056.1,1.18119,85,24941.5,33078,1.32623,1.25371
30,340,70462.7,47691.7,0.676836,339,70112.7,48259.7,0.688316,0.682576
31,236,52690.2,39904.3,0.757338,234,51518.6,36815.6,0.714608,0.735973
32,272,64649,69868.7,1.08074,270,64498.3,64181.9,0.995095,1.03792
33,218,60425.1,45338.8,0.75033,214,59025.1,46104,0.781092,0.765711
34,581,91947.6,76812.7,0.835397,566,90285.6,73908.3,0.818606,0.827001
35,717,120280,104512,0.868909,711,118845,97186.6,0.817757,0.843333
36,637,112628,110169,0.978163,633,111390,99775.9,0.895738,0.936951
37,139,31228.3,36502,1.16888,134,29980.6,34022.8,1.13483,1.15185
38,499,159174,116880,0.734292,498,158824,115591,0.727797,0.731044
39,323,106019,133524,1.25943,321,105247,125994,1.19713,1.22828
40,544,157027,146297,0.931671,529,153073,143170,0.935301,0.933486
